data_inversa;dia_semana;br;km;causa_acidente;tipo_acidente;fase_dia;condicao_metereologica;mortos;ilesos;feridos
2008-04-26;Sábado;174;0.6;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;4;0
2008-04-27;Domingo;174;54.0;Outras;Saída de Pista;pleno dia;chuva;0;1;0
2008-02-05;Sexta;319;0.8;Não guardar distância de segurança;Colisão frontal;pleno dia;ceu claro;0;2;0
2008-04-05;Domingo;174;1.0;Velocidade incompatível;Tombamento;plena noite;ignorado;0;0;0
2008-04-05;Domingo;174;50.5;Não guardar distância de segurança;Colisão traseira;pleno dia;ceu claro;0;4;2
2008-07-05;Quarta;174;2.0;Velocidade incompatível;Colisão frontal;pleno dia;chuva;3;2;14
2008-08-05;Quinta;174;42.2;Falta de atenção;Queda de motocicleta / bicicleta / veículo;pleno dia;ceu claro;0;0;2
2008-07-05;Quarta;174;7.0;Defeito na via;Tombamento;pleno dia;nublado;0;6;1
2008-05-13;Terça;174;50.8;Defeito na via;Saída de Pista;plena noite;ignorado;0;1;1
2008-05-17;Sábado;174;11.0;Defeito na via;Colisão frontal;pleno dia;nublado;1;0;1
2008-05-27;Terça;174;4.0;Defeito mecânico em veículo;Capotamento;pleno dia;ceu claro;0;3;0
2008-05-31;Sábado;174;28.0;Defeito na via;Saída de Pista;plena noite;nublado;0;0;2
2008-05-31;Sábado;174;36.0;Não guardar distância de segurança;Colisão traseira;plena noite;nevoeiro/neblina;0;2;0
2008-01-06;Domingo;174;52.3;Falta de atenção;Colisão traseira;amanhecer;ceu claro;0;1;2
2008-03-06;Terça;174;3.3;Falta de atenção;Colisão traseira;pleno dia;nublado;0;1;3
2008-01-06;Domingo;174;14.3;Ingestão de álcool;Colisão traseira;pleno dia;chuva;0;3;2
2008-06-13;Sexta;319;1.0;Falta de atenção;Colisão lateral;pleno dia;sol;0;2;0
2008-06-19;Quinta;319;0.7;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;2;0
2008-06-21;Sábado;319;1.0;Falta de atenção;Colisão com objeto fixo;amanhecer;ceu claro;0;3;0
2008-06-27;Sexta;319;0.5;Outras;Colisão com objeto fixo;pleno dia;ceu claro;0;1;0
2008-06-29;Domingo;174;10.5;Falta de atenção;Colisão traseira;anoitecer;ceu claro;0;3;0
2008-06-26;Quinta;319;0.4;Defeito mecânico em veículo;Colisão com objeto fixo;pleno dia;ceu claro;0;1;0
2008-06-07;Domingo;174;63.4;Falta de atenção;Capotamento;pleno dia;ceu claro;0;3;0
2008-06-07;Domingo;174;2.0;Falta de atenção;Saída de Pista;pleno dia;ceu claro;0;0;5
2008-07-28;Segunda;174;2.0;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;1;2
2008-03-08;Domingo;174;62.9;Falta de atenção;Saída de Pista;pleno dia;sol;0;1;0
2008-04-08;Segunda;174;18.9;Falta de atenção;Colisão lateral;pleno dia;sol;0;2;1
2008-06-08;Quarta;319;0.9;Falta de atenção;Colisão lateral;pleno dia;ceu claro;0;2;0
2008-05-08;Terça;174;25.9;Outras;Capotamento;pleno dia;sol;0;1;0
2008-06-08;Quarta;174;36.0;Desobediência à sinalização;Saída de Pista;pleno dia;sol;0;1;0
2008-12-08;Terça;174;28.2;Outras;Colisão traseira;plena noite;ceu claro;0;3;0
2008-10-08;Domingo;174;15.0;Outras;Colisão frontal;pleno dia;ceu claro;0;0;6
2008-08-14;Quinta;319;0.7;Falta de atenção;Colisão Transversal;pleno dia;ceu claro;0;1;1
2008-08-27;Quarta;174;14.0;Falta de atenção;Colisão com objeto móvel;pleno dia;ceu claro;0;1;2
2008-03-09;Quarta;174;2.6;Outras;Colisão Transversal;pleno dia;chuva;0;2;0
2008-08-30;Sábado;174;11.0;Falta de atenção;Colisão traseira;anoitecer;nublado;0;2;1
2008-06-09;Sábado;319;0.0;Velocidade incompatível;Colisão com objeto fixo;plena noite;ceu claro;0;0;1
2008-07-09;Domingo;174;1.0;Falta de atenção;Colisão traseira;pleno dia;chuva;0;3;0
2008-07-09;Domingo;174;52.3;Falta de atenção;Colisão traseira;pleno dia;nublado;0;2;0
2008-07-09;Domingo;174;0.3;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;4;0
2008-12-09;Sexta;319;1.0;Não guardar distância de segurança;Colisão traseira;pleno dia;nublado;0;5;0
2008-09-14;Domingo;174;28.0;Outras;Colisão traseira;pleno dia;chuva;0;7;1
2008-06-09;Sábado;174;106.0;Outras;Colisão frontal;anoitecer;chuva;0;2;3
2008-09-25;Quinta;174;43.0;Defeito mecânico em veículo;Queda de motocicleta / bicicleta / veículo;pleno dia;ceu claro;0;1;0
2008-06-10;Segunda;174;1.0;Outras;Colisão traseira;pleno dia;chuva;0;3;0
2008-01-10;Quarta;174;1.0;Outras;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-03-10;Sexta;174;2.0;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-07-10;Terça;174;25.3;Outras;Saída de Pista;plena noite;ceu claro;0;2;0
2008-10-27;Segunda;319;0.7;Falta de atenção;Colisão Transversal;pleno dia;ceu claro;0;2;0
2008-10-24;Sexta;174;1.2;Falta de atenção;Colisão frontal;pleno dia;ceu claro;0;1;1
2008-10-30;Quinta;174;12.5;Não guardar distância de segurança;Colisão traseira;pleno dia;chuva;0;2;0
2008-02-11;Domingo;319;1.0;Defeito mecânico em veículo;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-02-11;Domingo;174;2.0;Defeito mecânico em veículo;Saída de Pista;pleno dia;chuva;0;2;1
2008-03-11;Segunda;174;3.3;Falta de atenção;Colisão traseira;pleno dia;sol;0;2;0
2008-01-11;Sábado;174;10.9;Ingestão de álcool;Saída de Pista;pleno dia;nublado;1;0;7
2008-05-11;Quarta;174;20.2;Outras;Saída de Pista;pleno dia;chuva;0;2;0
2008-12-11;Quarta;174;162.6;Outras;Saída de Pista;plena noite;ceu claro;0;3;0
2008-11-15;Sábado;319;0.7;Falta de atenção;Colisão traseira;pleno dia;ceu claro;0;2;0
2008-11-22;Sábado;319;1.0;Defeito mecânico em veículo;Colisão com objeto fixo;pleno dia;ceu claro;0;1;0
