causa_acidente,data_inversa,mortos,ano
animais na pista,2011-09-24,0,2011
animais na pista,2011-06-10,0,2011
outras,2011-11-10,0,2011
outras,2011-10-16,0,2011
velocidade incompatível,2011-10-16,0,2011
outras,2011-10-23,0,2011
ultrapassagem indevida,2011-10-24,0,2011
ultrapassagem indevida,2011-10-24,0,2011
falta de atenção,2011-10-25,0,2011
animais na pista,2012-01-01,0,2012
dormindo,2012-01-03,0,2012
não guardar distância de segurança,2012-01-11,0,2012
dormindo,2012-01-07,1,2012
falta de atenção,2012-01-16,0,2012
velocidade incompatível,2012-01-17,1,2012
velocidade incompatível,2012-01-15,0,2012
falta de atenção,2012-01-29,0,2012
ingestão de álcool,2012-01-29,0,2012
ingestão de álcool,2012-02-02,0,2012
velocidade incompatível,2012-02-04,0,2012
ingestão de álcool,2012-02-05,0,2012
outras,2012-02-05,0,2012
velocidade incompatível,2012-02-09,0,2012
falta de atenção,2012-02-15,0,2012
outras,2012-02-19,0,2012
não guardar distância de segurança,2012-02-21,0,2012
desobediência à sinalização,2012-03-02,0,2012
falta de atenção,2012-03-03,0,2012
ultrapassagem indevida,2012-03-04,0,2012
não guardar distância de segurança,2012-03-07,0,2012
animais na pista,2012-03-04,0,2012
outras,2012-03-16,0,2012
outras,2012-03-22,0,2012
falta de atenção,2012-03-24,0,2012
